common_name,country
"Lipstick Leporinu",indonesia
"Lophiosilurus Apurensis",indonesia
"Cyaneyed Tetra",indonesia
"Hairy Puffer",indonesia
"Dambas And Allie",indonesia
"Redhook Pacu",indonesia
"Black Arowana",indonesia
"Gar Characin",indonesia
"Shadow Catfish",indonesia
"Kuhli Loach",indonesia
"Labiobarbus Ocellatus",indonesia
"Lyon'S Cichlid",indonesia
Gadoidei,indonesia
"Lesser Spiny Eel",indonesia
Acentrogobius,indonesia
"Peppermint Pikehead Gourami",indonesia
"Ornate Bichir",indonesia
Hilsa,indonesia
"Oriental Bonito",indonesia
"Common Sole",indonesia
"Yellow Rasbora",indonesia
Gobiesocinae,indonesia
"Endler'S Livebearer",indonesia
